source,family,circuit_id,label,split,cosine_dist,l2_dist_norm,skg_norm,sg_norm,npz_path
netlists,LDO,2300,LDO/2300,test,0.13000527024269104,0.7211247682571411,2.3022706508636475,1.275354027748108,netlists/LDO/2300/comb_graph_gnn.npz
netlists,LDO,2301,LDO/2301,train,0.13950645923614502,0.7470113635063171,2.3974671363830566,1.274307370185852,netlists/LDO/2301/comb_graph_gnn.npz
netlists,LDO,2302,LDO/2302,train,0.21696317195892334,0.9315862059593201,1.4789488315582275,1.2035187482833862,netlists/LDO/2302/comb_graph_gnn.npz
netlists,LDO,2303,LDO/2303,train,0.22986170649528503,0.9588779211044312,2.043351888656616,1.2051728963851929,netlists/LDO/2303/comb_graph_gnn.npz
netlists,LDO,2304,LDO/2304,train,0.2985476404428482,1.0927903652191162,1.6864861249923706,1.9789350032806396,netlists/LDO/2304/comb_graph_gnn.npz
llmbo,amp2,amp2,LLMBO/amp2,llmbo,0.32318446040153503,1.1369863748550415,3.0214648246765137,1.8103833198547363,/home/karthik/sim_clean/AMS-opt/LLMBO/amp2_ati_new/comb_graph_gnn.npz
llmbo,FC,FC,LLMBO/FC,llmbo,0.19876962900161743,0.8916716575622559,2.463840961456299,1.6135425567626953,/home/karthik/sim_clean/AMS-opt/LLMBO/FC_ati_new/comb_graph_gnn.npz
llmbo,comp,comp,LLMBO/comp,llmbo,0.21846699714660645,0.9348090887069702,1.8109710216522217,1.289350152015686,/home/karthik/sim_clean/AMS-opt/LLMBO/comp_ati_new/comb_graph_gnn.npz
llmbo,ldo,ldo,LLMBO/ldo,llmbo,0.3104163110256195,1.1143003702163696,2.473611354827881,1.572884440422058,/home/karthik/sim_clean/AMS-opt/LLMBO/ldo_ati_new/comb_graph_gnn.npz
