anchor,topk,compare_by,overlap_count,overlap_at_k,jaccard,overlap_items,sg_topk_families,skg_topk_families,sg_topk,skg_topk
amp2,10,family,5,0.5,0.3333333333333333,"[""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps""]","[""diff_amps"", ""diff_amps"", ""diff_amps"", ""op-amp"", ""diff_amps"", ""op-amp"", ""op-amp"", ""diff_amps"", ""op-amp"", ""op-amp""]","[""diff_amps"", ""LDO"", ""diff_amps"", ""comparators"", ""diff_amps"", ""diff_amps"", ""comparators"", ""diff_amps"", ""comparators"", ""comparators""]","[""94"", ""80"", ""86"", ""332"", ""931"", ""284"", ""295"", ""77"", ""315"", ""287""]","[""925"", ""2308"", ""620"", ""1048"", ""929"", ""928"", ""749"", ""924"", ""738"", ""741""]"
FC,10,family,3,0.3,0.17647058823529413,"[""comparators"", ""comparators"", ""diff_amps""]","[""comparators"", ""op-amp"", ""op-amp"", ""op-amp"", ""comparators"", ""diff_amps"", ""diff_amps"", ""op-amp"", ""op-amp"", ""op-amp""]","[""diff_amps"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators""]","[""635"", ""299"", ""281"", ""329"", ""1065"", ""615"", ""928"", ""309"", ""320"", ""331""]","[""932"", ""633"", ""1063"", ""748"", ""1062"", ""1058"", ""747"", ""742"", ""746"", ""1047""]"
comp,10,family,1,0.1,0.05263157894736842,"[""diff_amps""]","[""op-amp"", ""op-amp"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""op-amp"", ""comparators"", ""diff_amps""]","[""LDO"", ""LDO"", ""LDO"", ""LDO"", ""LDO"", ""diff_amps"", ""LDO"", ""LDO"", ""LDO"", ""LDO""]","[""311"", ""326"", ""1055"", ""1054"", ""1057"", ""1062"", ""1047"", ""312"", ""1071"", ""927""]","[""2314"", ""2310"", ""2338"", ""2313"", ""2319"", ""82"", ""2331"", ""2324"", ""2312"", ""2348""]"
ldo,10,family,1,0.1,0.05263157894736842,"[""LDO""]","[""comparators"", ""comparators"", ""comparators"", ""LDO"", ""op-amp"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators""]","[""LDO"", ""LDO"", ""LDO"", ""LDO"", ""LDO"", ""LDO"", ""LDO"", ""LDO"", ""LDO"", ""diff_amps""]","[""1045"", ""634"", ""1050"", ""2341"", ""328"", ""1059"", ""1051"", ""1060"", ""633"", ""1049""]","[""2348"", ""2323"", ""2313"", ""2314"", ""2312"", ""2331"", ""2309"", ""2319"", ""2303"", ""82""]"
