anchor,topk,compare_by,overlap_count,overlap_at_k,jaccard,overlap_items,sg_topk_families,skg_topk_families,sg_topk,skg_topk
amp2,15,circuit_id,1,0.06666666666666667,0.034482758620689655,"[""738""]","[""diff_amps"", ""op-amp"", ""op-amp"", ""diff_amps"", ""op-amp"", ""op-amp"", ""op-amp"", ""op-amp"", ""op-amp"", ""op-amp"", ""comparators"", ""diff_amps"", ""op-amp"", ""op-amp"", ""op-amp""]","[""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""comparators"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""comparators"", ""comparators""]","[""77"", ""316"", ""327"", ""82"", ""303"", ""332"", ""336"", ""299"", ""300"", ""331"", ""738"", ""84"", ""326"", ""333"", ""328""]","[""71"", ""80"", ""97"", ""921"", ""618"", ""94"", ""69"", ""617"", ""620"", ""738"", ""616"", ""75"", ""619"", ""1055"", ""635""]"
FC,15,circuit_id,4,0.26666666666666666,0.15384615384615385,"[""635"", ""632"", ""925"", ""740""]","[""op-amp"", ""comparators"", ""comparators"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""op-amp"", ""comparators"", ""comparators"", ""op-amp"", ""comparators"", ""op-amp"", ""diff_amps"", ""op-amp""]","[""diff_amps"", ""comparators"", ""diff_amps"", ""op-amp"", ""diff_amps"", ""comparators"", ""comparators"", ""diff_amps"", ""diff_amps"", ""comparators"", ""diff_amps"", ""comparators"", ""comparators"", ""diff_amps"", ""diff_amps""]","[""318"", ""635"", ""632"", ""926"", ""925"", ""88"", ""94"", ""300"", ""740"", ""1071"", ""326"", ""1046"", ""327"", ""77"", ""328""]","[""925"", ""1056"", ""614"", ""317"", ""923"", ""1055"", ""632"", ""619"", ""69"", ""635"", ""616"", ""740"", ""749"", ""924"", ""80""]"
comp,15,circuit_id,7,0.4666666666666667,0.30434782608695654,"[""1058"", ""633"", ""1057"", ""1062"", ""1053"", ""1047"", ""1063""]","[""comparators"", ""comparators"", ""comparators"", ""op-amp"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""op-amp"", ""op-amp"", ""comparators"", ""comparators"", ""comparators"", ""comparators""]","[""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""op-amp"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""diff_amps"", ""diff_amps"", ""diff_amps"", ""diff_amps""]","[""1051"", ""1058"", ""633"", ""335"", ""1057"", ""1062"", ""1053"", ""1047"", ""1063"", ""311"", ""312"", ""1071"", ""1046"", ""634"", ""1050""]","[""1058"", ""1047"", ""1063"", ""1057"", ""1053"", ""1062"", ""317"", ""633"", ""740"", ""1056"", ""632"", ""923"", ""614"", ""932"", ""925""]"
ldo,15,circuit_id,9,0.6,0.42857142857142855,"[""633"", ""1058"", ""1050"", ""1057"", ""1063"", ""335"", ""1062"", ""1053"", ""1047""]","[""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""op-amp"", ""comparators"", ""comparators"", ""comparators"", ""op-amp"", ""op-amp""]","[""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""comparators"", ""diff_amps"", ""comparators"", ""comparators"", ""op-amp"", ""diff_amps"", ""op-amp"", ""comparators"", ""comparators""]","[""634"", ""1045"", ""633"", ""1059"", ""1058"", ""1050"", ""1051"", ""1057"", ""1063"", ""335"", ""1062"", ""1053"", ""1047"", ""311"", ""312""]","[""633"", ""1063"", ""1058"", ""1057"", ""1047"", ""1062"", ""1053"", ""932"", ""1050"", ""632"", ""317"", ""923"", ""335"", ""1056"", ""740""]"
