anchor,topk,overlap_count,overlap_at_k,jaccard,overlap_ids,sg_topk,skg_topk
amp2,10,0,0.0,0.0,[],"[""94"", ""80"", ""86"", ""332"", ""931"", ""284"", ""295"", ""77"", ""315"", ""287""]","[""925"", ""2308"", ""620"", ""1048"", ""929"", ""928"", ""749"", ""924"", ""738"", ""741""]"
FC,10,0,0.0,0.0,[],"[""635"", ""299"", ""281"", ""329"", ""1065"", ""615"", ""928"", ""309"", ""320"", ""331""]","[""932"", ""633"", ""1063"", ""748"", ""1062"", ""1058"", ""747"", ""742"", ""746"", ""1047""]"
comp,10,0,0.0,0.0,[],"[""311"", ""326"", ""1055"", ""1054"", ""1057"", ""1062"", ""1047"", ""312"", ""1071"", ""927""]","[""2314"", ""2310"", ""2338"", ""2313"", ""2319"", ""82"", ""2331"", ""2324"", ""2312"", ""2348""]"
ldo,10,0,0.0,0.0,[],"[""1045"", ""634"", ""1050"", ""2341"", ""328"", ""1059"", ""1051"", ""1060"", ""633"", ""1049""]","[""2348"", ""2323"", ""2313"", ""2314"", ""2312"", ""2331"", ""2309"", ""2319"", ""2303"", ""82""]"
