source,family,circuit_id,label,split,cosine_dist,l2_dist_norm,skg_norm,sg_norm,npz_path
netlists,LDO,2300,LDO/2300,test,0.03230208158493042,0.3594554364681244,4.5067949295043945,2.466999053955078,netlists/LDO/2300/comb_graph_gnn.npz
netlists,LDO,2301,LDO/2301,train,0.6427357196807861,1.6034159660339355,3.497408151626587,0.9350125789642334,netlists/LDO/2301/comb_graph_gnn.npz
netlists,LDO,2302,LDO/2302,train,0.4555686227977276,1.3499164581298828,3.5076653957366943,1.3802498579025269,netlists/LDO/2302/comb_graph_gnn.npz
netlists,LDO,2303,LDO/2303,train,0.3178107738494873,1.127494215965271,3.9123826026916504,1.2633368968963623,netlists/LDO/2303/comb_graph_gnn.npz
netlists,LDO,2304,LDO/2304,train,0.8259376883506775,1.817622184753418,1.1007401943206787,5.237973213195801,netlists/LDO/2304/comb_graph_gnn.npz
llmbo,amp2,amp2,LLMBO/amp2,llmbo,0.008885383605957031,0.18852393329143524,3.9471323490142822,4.382063388824463,/home/karthik/sim_clean/AMS-opt/LLMBO/amp2_ati_new/comb_graph_gnn.npz
llmbo,FC,FC,LLMBO/FC,llmbo,0.001890331506729126,0.08695512264966965,4.387531280517578,3.7296624183654785,/home/karthik/sim_clean/AMS-opt/LLMBO/FC_ati_new/comb_graph_gnn.npz
llmbo,comp,comp,LLMBO/comp,llmbo,0.0028513967990875244,0.10679642856121063,4.37602424621582,3.355006694793701,/home/karthik/sim_clean/AMS-opt/LLMBO/comp_ati_new/comb_graph_gnn.npz
llmbo,ldo,ldo,LLMBO/ldo,llmbo,0.013906091451644897,0.23584789037704468,5.153238296508789,4.056217670440674,/home/karthik/sim_clean/AMS-opt/LLMBO/ldo_ati_new/comb_graph_gnn.npz
